itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
156.811UK,AL2-S1612,Aluminium LED Tape Profile Deep Section 2m,Aluminium LED Tape Profile - Deep Section,Extruded aluminium deep section profile with diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture or architectural details.,Supplied complete with installation accessories,External cross-section[tab]16 x 12mm[br]Internal cross-section[tab]11 x 9mm[br]Diffuser visible width[tab]11mm,Length[tab]2m,LYYT,0.322,13/10/2020 10:05,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,17.99,https://www.avsl.com/assets/images/1/5/156811UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156811UK_CO1.jpg
156.812UK,AL2-S1606,Aluminium LED Tape Profile Shallow Section 2m,Aluminium LED Tape Profile - Shallow Section,Extruded aluminium shallow section profile with diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture or architectural details,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]16 x 6mm[br]Internal cross-section[tab]11 x 4mm[br]Diffuser visible width[tab]11mm,Length[tab]2m,LYYT,0.214,02/05/2023 15:32,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,1000+,13.99,https://www.avsl.com/assets/images/1/5/156812UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156812UK_IN4.jpg
156.813UK,AL2-F2206,Aluminium LED Tape Profile Recess 2m,Aluminium LED Tape Profile - Recess,Extruded aluminium recess section profile with diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture or architectural details,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]22 x 6mm[br]Internal cross-section[tab]11 x 4mm[br]Diffuser visible width[tab]11mm,Length[tab]2m,LYYT,0.552,02/05/2023 15:32,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,1,13.99,https://www.avsl.com/assets/images/1/5/156813UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156813UK_IN3.jpg
156.815UK,AL2-A1919,Aluminium LED Tape Profile 45° Angle 2m Translucent ,Aluminium LED Tape Profile - Angle 45°,Extruded aluminium angle section profile with diffuser and fitting accessories for LED tape installation. Ideal for illuminating corners and architectural details.,Supplied complete with installation accessories,External cross-section[tab]19 x 19mm[br]Internal cross-section[tab]11 x 9mm[br]Diffuser visible width[tab]11mm,Length[tab]2m,LYYT,0.61,22/03/2023 13:20,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10,24.99,https://www.avsl.com/assets/images/1/5/156815UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156815UK_IN4.jpg
156.816UK,AL2-A1816,Aluminium LED Tape Profile Round Section 2m,Aluminium LED Tape Profile - Round Section,Extruded aluminium round section profile with diffuser and fitting accessories for LED tape installation. Ideal for illuminating corners and architectural details.,Supplied complete with installation accessories,External cross-section[tab]18 x 16mm[br]Internal cross-section[tab]11 x 9mm[br]Diffuser visible width[tab]11mm,Length[tab]2m,LYYT,0.476,20/06/2018 13:26,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,16.99,https://www.avsl.com/assets/images/1/5/156816UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156816UK_IN4.jpg
156.817UK,AL2-C1709,Aluminium LED Tape Profile Short Crown 2m Frosted,Aluminium LED Tape Profile - Short Crown,Extruded aluminium short section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 9mm[br]Internal cross-section[tab]12 x 6mm[br]Diffuser visible width[tab]14mm,Length[tab]2m[br]Colour[tab]White,LYYT,0.28,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,1000+,15.99,https://www.avsl.com/assets/images/1/5/156817UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156817UK_CO3.jpg
156.818UK,AL2-C1716,Aluminium LED Tape Profile Tall Crown 2m,Aluminium LED Tape Profile - Tall Crown,Extruded aluminium tall section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 16mm[br]Internal cross-section[tab]12 x 10mm[br]Diffuser visible width[tab]14mm,Length[tab]2m[br]Colour[tab]White,LYYT,0.38,10/07/2024 10:05,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,500+,19.99,https://www.avsl.com/assets/images/1/5/156818UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156818UK_IN1.jpg
156.819UK,AL2-C2310,Aluminium LED Tape Profile Wide Crown 2m Frosted,Aluminium LED Tape Profile - Wide Crown,Extruded aluminium wide section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]24 x 11mm[br]Internal cross-section[tab]20 x 7mm[br]Diffuser visible width[tab]21mm,Length[tab]2m[br]Colour[tab]White,LYYT,0.62,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,1000+,19.99,https://www.avsl.com/assets/images/1/5/156819UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156819UK_IN1.jpg
156.820UK,AL1-W2915,Aluminium LED Tape Profile Wardrobe 1m,Aluminium LED Tape Profile - Wardrobe Rail,Extruded aluminium profile with oval cross-section and angled slide-in diffuser. Supplied with end cups and suspension hoops to be assembled with LED tape inside as an illuminated clothes rail for installation into wardrobes.,Hidden illumination for walk-in wardrobes or closets[br]Supplied with suspension hoops and end cups[br]Can be cut to length to fit wardrobe or closet width,External cross-section[tab]29 x 15mm[br]Internal cross-section[tab]12 x 8mm[br]Diffuser visible width[tab]7mm,Length[tab]1m,LYYT,0.435,20/06/2018 13:30,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,14.99,https://www.avsl.com/assets/images/1/5/156820UK_LD1.png,https://www.avsl.com/assets/images/1/5/156820UK_CO3.jpg
156.821UK,AL1-F2520,Aluminium LED Tape Profile T Insert 1m,Aluminium LED Tape Profile - T Insert,"Extruded aluminium T shape profile for LED tape installation. Supplied with snap-fit diffuser, end caps and spring clips for setting into walls or ceilings. Ideal for creating flush linear lighting and colour features.","Supplied with spring clips[br]Easy, snap-fit diffuser",External cross-section[tab]25 x 20mm[br]Internal cross-section[tab]12.5 x 12.5mm[br]Diffuser visible width[tab]14mm,Length[tab]1m,LYYT,0.24,19/08/2020 16:06,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,12.99,https://www.avsl.com/assets/images/1/5/156821UK_LD1.png,https://www.avsl.com/assets/images/1/5/156821UK_CO2.jpg
156.822UK,AL1-H2545,Aluminium LED Tape Profile Uplight H 1m,Aluminium LED Tape Profile - Uplight H Section,"Extruded aluminium h-shape section profile with clip in diffuser for LED tape installation. When screwed to a wall, this profile can be painted if required and with its vertical diffuser is well-suited to creating a linear uplighter.","Easy, snap-fit diffuser[br]Paintable extrusion for discreet uplighting",External cross-section[tab]45 x 25mm[br]Internal cross-section[tab]20 x 18mm[br]Diffuser visible width[tab]23mm,Length[tab]1m,LYYT,0.48,20/06/2018 13:32,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,2,19.99,https://www.avsl.com/assets/images/1/5/156822UK_LD1.png,https://www.avsl.com/assets/images/1/5/156822UK_CO1.jpg
156.825UK,AL1-B2020,Aluminium LED Tape Profile Box Section 1m,Aluminium LED Tape Profile - Box Section,"Extruded aluminium channel profile for LED tape installation. Supplied with clip on half-square diffuser, end caps and clips for mounting onto walls or ceilings. Fully assembled, this profile has a box section to give a clean, sharp line with good light dispersion.","Easy, snap-fit diffuser[br]Clean and sharp profile edge",External cross-section[tab]20 x 20mm[br]Internal cross-section[tab]16 x 16mm[br]Diffuser visible width[tab]20mm,Length[tab]1m,LYYT,0.21,29/06/2022 10:28,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,9.49,https://www.avsl.com/assets/images/1/5/156825UK_LD1.png,https://www.avsl.com/assets/images/1/5/156825UK_CO2.jpg
156.826UK,AL1-B5712,Aluminium LED Tape Profile Raised Bar 1m,Aluminium LED Tape Profile - Raised Bar,"Extruded aluminium arch profile for LED tape installation. Supplied with snap-fit diffuser, end caps and clips for mounting onto walls or ceilings. Creates a gently raised bar profile with central light source for subtle lighting or architectural highlights.","Creates a gently raised illuminated bar[br]Easy, snap-fit diffuser",External cross-section[tab]57 x 12mm[br]Internal cross-section[tab]12 x 7mm[br]Diffuser visible width[tab]17mm,Length[tab]1m,LYYT,0.33,19/08/2020 16:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,14.99,https://www.avsl.com/assets/images/1/5/156826UK_LD1.png,https://www.avsl.com/assets/images/1/5/156826UK_CO1.jpg
156.828UK,AL1-T4917,Aluminium LED Tape Profile 2-Way Bar 1m,Aluminium LED Tape Profile - 2 Way Bar,"Extruded aluminium symmetrical profile for LED tape installation. Supplied with 2 clip in diffusers, end caps and clips for mounting onto ceilings or walls. Fully assembled, the profile provides 2 covered carriers for LED tape, providing up and down lighting or 2-way lateral lighting.",Paintable extrusion for hidden lighting[br]Easy fit clip-in diffusers[br]For use with 1 or 2 different LED tapes,External cross-section[tab]49 x 17mm[br]Internal cross-section[tab]12 x 5mm (each side)[br]Diffuser visible width[tab]14mm (each diffuser),Length[tab]1m,LYYT,0.405,20/06/2018 13:39,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,18.99,https://www.avsl.com/assets/images/1/5/156828UK_LD1.png,https://www.avsl.com/assets/images/1/5/156828UK_CO2.jpg
156.829UK,AL1-R2020,Aluminium LED Tape Profile Tube Batten 1m,Aluminium LED Tape Profile - Tube Batten,Extruded aluminium profile with round clip-on diffuser for LED tape installation. Supplied with 2 end caps and suspension hardware to make a precision linear batten as a neat alternative to conventional strip lights.,Includes ceiling suspension kit[br]Easy fit clip-on diffuser,External cross-section[tab]20mmØ[br]Internal cross-section[tab]12 x 11mm[br]Diffuser visible width[tab]18mm,Length[tab]1m,LYYT,0.365,20/06/2018 13:40,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,18.99,https://www.avsl.com/assets/images/1/5/156829UK_LD1.png,https://www.avsl.com/assets/images/1/5/156829UK_CO2.jpg
156.831UK,AL2-F2520,Aluminium LED Tape Profile T Insert 2m,Aluminium LED Tape Profile - T Insert,"Extruded aluminium T shape profile for LED tape installation. Supplied with snap-fit diffuser, end caps and spring clips for setting into walls or ceilings. Ideal for creating flush linear lighting and colour features.","Supplied with spring clips[br]Easy, snap-fit diffuser",External cross-section[tab]25 x 20mm[br]Internal cross-section[tab]12.5 x 12.5mm[br]Diffuser visible width[tab]14mm,Length[tab]2m,LYYT,0.48,19/08/2020 16:06,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,29.99,https://www.avsl.com/assets/images/1/5/156831UK_LD1.png,https://www.avsl.com/assets/images/1/5/156831UK_CO1.jpg
156.833UK,AL2-D1915,Aluminium LED Tape Profile D Section 2m,Aluminium LED Tape Profile - D Section,"Extruded aluminium shallow profile for LED tape installation with clip in semi-circular diffuser and screw-on end caps. When installed, this profile creates a surface-mount half-tube effect for 180° light dispersal.","Easy, snap-fit diffuser[br]Round diffuser for wide light dispersal",External cross-section[tab]19 x 15mm[br]Internal cross-section[tab]13 x 8mm[br]Diffuser visible width[tab]19mm,Length[tab]2m,LYYT,0.38,20/06/2018 13:33,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,17.99,https://www.avsl.com/assets/images/1/5/156833UK_LD1.png,https://www.avsl.com/assets/images/1/5/156833UK_CO1.jpg
156.835UK,AL2-B2020,Aluminium LED Tape Profile Box Section 2m,Aluminium LED Tape Profile - Box Section,"Extruded aluminium channel profile for LED tape installation. Supplied with clip on half-square diffuser, end caps and clips for mounting onto walls or ceilings. Fully assembled, this profile has a box section to give a clean, sharp line with good light dispersion.","Easy, snap-fit diffuser[br]Clean and sharp profile edge",External cross-section[tab]20 x 20mm[br]Internal cross-section[tab]16 x 16mm[br]Diffuser visible width[tab]20mm,Length[tab]2m,LYYT,0.42,29/06/2022 10:28,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,19.99,https://www.avsl.com/assets/images/1/5/156835UK_LD1.png,https://www.avsl.com/assets/images/1/5/156835UK_CO1.jpg
156.837UK,AL2-D4217,Aluminium LED Tape Profile Dado Rail 2m,Aluminium LED Tape Profile - Dado Rail,"Extruded aluminium curved profile for LED tape installation. Supplied with clip in diffuser, end caps and clips for mounting onto walls. The aluminium can be painted to match the surrounding decor to produce a concealed up lighter.","Paintable extrusion for discreet uplighting[br]Easy, snap-fit diffuser",External cross-section[tab]42 x 17mm[br]Internal cross-section[tab]12 x 5mm[br]Diffuser visible width[tab]14mm,Length[tab]2m,LYYT,0.67,20/06/2018 13:38,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,3,34.99,https://www.avsl.com/assets/images/1/5/156837UK_LD1.png,https://www.avsl.com/assets/images/1/5/156837UK_CO1.jpg
156.838UK,AL2-T4917,Aluminium LED Tape Profile 2-Way Bar 2m,Aluminium LED Tape Profile - 2 Way Bar,"Extruded aluminium symmetrical profile for LED tape installation. Supplied with 2 clip in diffusers, end caps and clips for mounting onto ceilings or walls. Fully assembled, the profile provides 2 covered carriers for LED tape, providing up and down lighting or 2-way lateral lighting.",Paintable extrusion for hidden lighting[br]Easy fit clip-in diffusers[br]For use with 1 or 2 different LED tapes,External cross-section[tab]49 x 17mm[br]Internal cross-section[tab]12 x 5mm (each side)[br]Diffuser visible width[tab]14mm (each diffuser),Length[tab]2m,LYYT,0.81,20/06/2018 13:39,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,39.99,https://www.avsl.com/assets/images/1/5/156838UK_LD1.png,https://www.avsl.com/assets/images/1/5/156838UK_CO2.jpg
156.839UK,AL2-R2020,Aluminium LED Tape Profile Tube Batten 2m,Aluminium LED Tape Profile - Tube Batten,Extruded aluminium profile with round clip-on diffuser for LED tape installation. Supplied with 2 end caps and suspension hardware to make a precision linear batten as a neat alternative to conventional strip lights.,Includes ceiling suspension kit[br]Easy fit clip-on diffuser,External cross-section[tab]20mmØ[br]Internal cross-section[tab]12 x 11mm[br]Diffuser visible width[tab]18mm,Length[tab]2m,LYYT,0.73,20/06/2018 13:40,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,39.99,https://www.avsl.com/assets/images/1/5/156839UK_LD1.png,https://www.avsl.com/assets/images/1/5/156839UK_CO2.jpg
156.841UK,AL1-WR2811,Aluminium LED Tape Profile Waterproof Recess 1m,Waterproof LED Tape Profile - Recessed,"Extruded aluminium profile with beveled trim for flush mounting into walls, ceilings or floors. Supplied with a heavy duty diffuser which creates a waterproof seal when firmly knocked into the profile. Designed to protect LED tape when installed into floors or walls where there is a risk of moisture ingress.",Knock-in diffuser with waterproof seal[br]Heavy duty protection for LED tape,External cross-section[tab]28 x 11mm[br]Internal cross-section[tab]12 x 4mm[br]Diffuser visible width[tab]18mm[br]IP rating[tab]IP68,Length[tab]1m,LYYT,0.34,21/10/2022 10:28,1198,"13,647,221,198",LED Tape -> LED Tape Profiles -> Waterproof,led-tape/led-tape-profiles/waterproof,100+,14.99,https://www.avsl.com/assets/images/1/5/156841UK_LD1.png,https://www.avsl.com/assets/images/1/5/156841UK_CO1.jpg
156.842UK,AL1-WS1610,Aluminium LED Tape Profile Waterproof Short 1m,Waterproof LED Tape Profile - Short,"Extruded aluminium profile with shallow rectangular section for mounting onto walls, ceilings or inset into floors. Supplied with a heavy duty diffuser which creates a waterproof seal when firmly knocked into the profile Designed to protect LED tape when installed into floors or on walls where there is a risk of moisture ingress.",Knock-in diffuser with waterproof seal[br]Heavy duty protection for LED tape,External cross-section[tab]16 x 9mm[br]Internal cross-section[tab]13.1 x 5mm[br]Diffuser visible width[tab]16mm[br]IP rating[tab]IP68,Length[tab]1m,LYYT,0.155,26/02/2024 10:10,1198,"13,647,221,198",LED Tape -> LED Tape Profiles -> Waterproof,led-tape/led-tape-profiles/waterproof,10+,9.49,https://www.avsl.com/assets/images/1/5/156842UK_LD1.png,https://www.avsl.com/assets/images/1/5/156842UK_CO1.jpg
156.843UK,AB1-1806,Aluminium LED Tape Profile Bendable >100mmØ 1m,Bendable LED Tape Profile,"Extruded aluminium profile with arched push-fit diffuser, which is bendable to a radius as small as 50mm. Supplied with end caps and mounting clips to create a tailored LED tape installation along straight or curved edges and surfaces.",Bendable to as little as 50mm radius[br]Push fit opaque diffuser[br]Supplied with mounting clips and end caps,External cross-section[tab]18 x 6mm[br]Internal cross-section[tab]15 x 4mm[br]Minimum bending radius[tab]50mm[br]Diffuser visible width[tab]15mm,Length[tab]1m,LYYT,0.16,17/11/2021 12:56,1199,"13,647,221,199",LED Tape -> LED Tape Profiles -> Bendable,led-tape/led-tape-profiles/bendable,10+,6.99,https://www.avsl.com/assets/images/1/5/156843UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156843UK_IN1.jpg
156.851UK,AL2-WR2811,Aluminium LED Tape Profile Waterproof Recess 2m,Waterproof LED Tape Profile - Recessed,"Extruded aluminium profile with beveled trim for flush mounting into walls, ceilings or floors. Supplied with a heavy duty diffuser which creates a waterproof seal when firmly knocked into the profile. Designed to protect LED tape when installed into floors or walls where there is a risk of moisture ingress.",Knock-in diffuser with waterproof seal[br]Heavy duty protection for LED tape,External cross-section[tab]28 x 11mm[br]Internal cross-section[tab]12 x 4mm[br]Diffuser visible width[tab]18mm[br]IP rating[tab]IP68,Length[tab]2m,LYYT,0.68,21/10/2022 10:28,1198,"13,647,221,198",LED Tape -> LED Tape Profiles -> Waterproof,led-tape/led-tape-profiles/waterproof,10+,29.99,https://www.avsl.com/assets/images/1/5/156851UK_LD1.png,https://www.avsl.com/assets/images/1/5/156851UK_CO2.jpg
156.852UK,AL2-WS1610,Aluminium LED Tape Profile Waterproof Short 2m,Waterproof LED Tape Profile - Short,"Extruded aluminium profile with shallow rectangular section for mounting onto walls, ceilings or inset into floors. Supplied with a heavy duty diffuser which creates a waterproof seal when firmly knocked into the profile Designed to protect LED tape when installed into floors or on walls where there is a risk of moisture ingress.",Knock-in diffuser with waterproof seal[br]Heavy duty protection for LED tape,External cross-section[tab]16 x 9mm[br]Internal cross-section[tab]13.1 x 5mm[br]Diffuser visible width[tab]16mm[br]IP rating[tab]IP68,Length[tab]2m,LYYT,0.31,26/02/2024 10:10,1198,"13,647,221,198",LED Tape -> LED Tape Profiles -> Waterproof,led-tape/led-tape-profiles/waterproof,10+,19.99,https://www.avsl.com/assets/images/1/5/156852UK_LD1.png,https://www.avsl.com/assets/images/1/5/156852UK_CO2.jpg
156.853UK,AB2-1806,Aluminium LED Tape Profile Bendable >100mmØ 2m,Bendable LED Tape Profile,"Extruded aluminium profile with arched push-fit diffuser, which is bendable to a radius as small as 50mm. Supplied with end caps and mounting clips to create a tailored LED tape installation along straight or curved edges and surfaces.",Bendable to as little as 50mm radius[br]Push fit opaque diffuser[br]Supplied with mounting clips and end caps,External cross-section[tab]18 x 6mm[br]Internal cross-section[tab]15 x 4mm[br]Minimum bending radius[tab]50mm[br]Diffuser visible width[tab]15mm,Length[tab]2m,LYYT,0.32,17/11/2021 12:56,1199,"13,647,221,199",LED Tape -> LED Tape Profiles -> Bendable,led-tape/led-tape-profiles/bendable,10+,13.99,https://www.avsl.com/assets/images/1/5/156853UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156853UK_CO1.jpg
156.867UK,,Aluminium LED Tape Profile Short Crown 1m Black,Aluminium LED Tape Profile - Short Crown,Extruded aluminium short section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 9mm[br]Internal cross-section[tab]12 x 6mm[br]Diffuser visible width[tab]14mm,Length[tab]1m[br]Colour[tab]Black,LYYT,0.14,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,8.49,https://www.avsl.com/assets/images/1/5/156867UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156867UK_LS5.jpg
156.868UK,,Black Aluminium LED Tape Profile Tall Crown 1m,Aluminium LED Tape Profile - Tall Crown,Extruded aluminium tall section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 16mm[br]Internal cross-section[tab]12 x 10mm[br]Diffuser visible width[tab]14mm,Length[tab]1m[br]Colour[tab]Black,LYYT,0.19,10/07/2024 10:05,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,9.99,https://www.avsl.com/assets/images/1/5/156868UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156868UK_CO1.jpg
156.869UK,,Aluminium LED Tape Profile Wide Crown 1m Black,Aluminium LED Tape Profile - Wide Crown,Extruded aluminium wide section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]24 x 11mm[br]Internal cross-section[tab]20 x 7mm[br]Diffuser visible width[tab]21mm,Length[tab]1m[br]Colour[tab]Black,LYYT,0.31,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,10.99,https://www.avsl.com/assets/images/1/5/156869UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156869UK_LS1.jpg
156.877UK,,Aluminium LED Tape Profile Short Crown 2m Black,Aluminium LED Tape Profile - Short Crown,Extruded aluminium short section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 9mm[br]Internal cross-section[tab]12 x 6mm[br]Diffuser visible width[tab]14mm,Length[tab]2m[br]Colour[tab]Black,LYYT,0.28,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,0,15.99,https://www.avsl.com/assets/images/1/5/156877UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156877UK_CO4.jpg
156.878UK,,Black Aluminium LED Tape Profile Tall Crown 2m,Aluminium LED Tape Profile - Tall Crown,Extruded aluminium tall section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]18 x 16mm[br]Internal cross-section[tab]12 x 10mm[br]Diffuser visible width[tab]14mm,Length[tab]2m[br]Colour[tab]Black,LYYT,0.38,10/07/2024 10:05,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,10+,19.99,https://www.avsl.com/assets/images/1/5/156878UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156878UK_CO1.jpg
156.879UK,,Aluminium LED Tape Profile Wide Crown 2m Black,Aluminium LED Tape Profile - Wide Crown,Extruded aluminium wide section profile with crowned diffuser and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,"Supplied complete with installation accessories[br]Easy, snap-fit diffuser",External cross-section[tab]24 x 11mm[br]Internal cross-section[tab]20 x 7mm[br]Diffuser visible width[tab]21mm,Length[tab]2m[br]Colour[tab]Black,LYYT,0.62,10/07/2024 10:10,1203,"13,647,221,203",LED Tape -> LED Tape Profiles -> Surface Mount,led-tape/led-tape-profiles/surface-mount,100+,19.99,https://www.avsl.com/assets/images/1/5/156879UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156879UK_CO4.jpg
156.880UK,CLIP10-90A,10 Clips 90° Arc Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,10+,2.99,https://www.avsl.com/assets/images/1/5/156880UK_CO1.jpg,
156.881UK,CLIP10-DST,10 Clips Deep/Shallow/Tube Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,10+,2.99,https://www.avsl.com/assets/images/1/5/156881UK_CO1.jpg,
156.883UK,CLIP10- R,10 Clips Recessed Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,100+,2.99,https://www.avsl.com/assets/images/1/5/156883UK_CO1.jpg,
156.885UK,CLIP10- 45A,10 Clips 45° Angle Profile ,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,100+,2.99,https://www.avsl.com/assets/images/1/5/156885UK_CO1.jpg,
